"Id";"Oznaczenie";"Footprint";"Liczba";"Oznaczenie";"Dostawca i numer artykułu";
1;"C1, C2, C7";"C_1206_3216Metric";3;"47uF";;;
2;"C3, C6, C10, C19, C27, C29";"C_0603_1608Metric";6;"1uF";;;
3;"C4";"C_01005_0402Metric";1;"100nF";;;
4;"C5";"C_01005_0402Metric";1;"10pF";;;
5;"C8";"C_01005_0402Metric";1;"10nF";;;
6;"C9, C11, C12";"C_0603_1608Metric";3;"4.7uF";;;
7;"C13, C14, C15, C16, C17, C18, C20, C21, C22, C28, C30, C31";"C_0402_1005Metric";12;"100nF";;;
8;"C23, C24";"C_0402_1005Metric";2;"10pF";;;
9;"C25, C26";"C_0603_1608Metric";2;"2.2uF";;;
10;"D1";"D_SMB";1;"SMBJ26A";;;
11;"F1";"FUSC6125X279N";1;"1A Fuse 0680L1000-05";;;
12;"J1";"JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal";1;"GPS";;;
13;"J2";"JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal";1;"ESC";;;
14;"J3";"JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal";1;"UART";;;
15;"J4";"Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical";1;"Tag_Connect_6pin";;;
16;"L1";"SPM3010-3020";1;"SPM3020T-2R2M-LR";;;
17;"L2, L3";"L_0805_2012Metric";2;"BLM21PG221SN1D";;;
18;"R1";"R_01005_0402Metric";1;"100k";;;
19;"R2";"R_01005_0402Metric";1;"18.2k";;;
20;"R3";"R_01005_0402Metric";1;"1M";;;
21;"R4";"R_01005_0402Metric";1;"182k";;;
22;"R5";"R_01005_0402Metric";1;"1k";;;
23;"R6, R13";"R_01005_0402Metric";2;"10k";;;
24;"R7, R8";"R_01005_0402Metric";2;"4.7k";;;
25;"R9, R10, R11, R12";"R_01005_0402Metric";4;"33R";;;
26;"U1";"LT8609SEVPBF";1;"LT8609SEV#PBF";;;
27;"U2";"SOT-223-3_TabPin2";1;"AP7361C-33E";;;
28;"U3";"LQFP-100_14x14mm_P0.5mm";1;"STM32H743VITx";;;
29;"U4";"WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm";1;"W25Q512JVEIQ";;;
30;"U5";"Bosch_LGA-16_4.5x3mm_P0.5mm_LayoutBorder7x1y_ClockwisePinNumbering";1;"BMI088";;;
31;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"TSX-3225_16.0000MF18X-AC0";;;
