Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47uF","C_1206_3216Metric",127.270000,-109.140000,180.000000,top
"C2","47uF","C_1206_3216Metric",127.125000,-111.500000,180.000000,top
"C3","1uF","C_0603_1608Metric",130.130000,-113.490000,180.000000,top
"C4","100nF","C_01005_0402Metric",130.140000,-114.520000,180.000000,top
"C5","10pF","C_01005_0402Metric",133.480000,-114.455000,90.000000,top
"C6","1uF","C_0603_1608Metric",132.700000,-121.210000,0.000000,top
"C7","47uF","C_1206_3216Metric",136.120000,-114.710000,0.000000,top
"C8","10nF","C_01005_0402Metric",130.140000,-118.360000,90.000000,top
"C9","4.7uF","C_0603_1608Metric",130.985000,-115.550000,180.000000,top
"C10","1uF","C_0603_1608Metric",128.720000,-124.740000,-90.000000,top
"C11","4.7uF","C_0603_1608Metric",129.520000,-131.420000,-90.000000,top
"C12","4.7uF","C_0603_1608Metric",110.190000,-105.960000,0.000000,top
"C13","100nF","C_0402_1005Metric",111.110000,-126.810000,180.000000,top
"C14","100nF","C_0402_1005Metric",121.440000,-125.120000,180.000000,top
"C15","100nF","C_0402_1005Metric",122.630000,-110.770000,-90.000000,top
"C16","100nF","C_0402_1005Metric",107.700000,-107.660000,0.000000,top
"C17","100nF","C_0402_1005Metric",103.210000,-122.500000,90.000000,top
"C18","100nF","C_0402_1005Metric",116.950000,-126.760000,180.000000,top
"C19","1uF","C_0603_1608Metric",117.170000,-128.340000,180.000000,top
"C20","100nF","C_0402_1005Metric",109.190000,-126.820000,0.000000,top
"C21","100nF","C_0402_1005Metric",101.620000,-117.400000,-90.000000,top
"C22","100nF","C_0402_1005Metric",121.080000,-126.670000,0.000000,top
"C23","10pF","C_0402_1005Metric",113.030000,-126.990000,0.000000,top
"C24","10pF","C_0402_1005Metric",114.950000,-126.810000,0.000000,top
"C25","2.2uF","C_0603_1608Metric",110.170000,-107.520000,180.000000,top
"C26","2.2uF","C_0603_1608Metric",123.340000,-112.670000,0.000000,top
"C27","1uF","C_0603_1608Metric",127.470000,-121.990000,180.000000,top
"C28","100nF","C_0402_1005Metric",128.620000,-120.250000,90.000000,top
"C29","1uF","C_0603_1608Metric",122.925000,-129.225000,180.000000,top
"C30","100nF","C_0402_1005Metric",125.270000,-123.715000,0.000000,top
"C31","100nF","C_0402_1005Metric",125.900000,-129.080000,0.000000,top
"D1","SMBJ26A","D_SMB",134.410000,-110.510000,0.000000,top
"F1","1A Fuse 0680L1000-05","FUSC6125X279N",128.300000,-103.970000,-90.000000,top
"H1","MountingHole","MountingHole_4mm",104.000000,-104.000000,0.000000,top
"H2","MountingHole","MountingHole_4mm",104.000000,-134.500000,0.000000,top
"H3","MountingHole","MountingHole_4mm",134.500000,-134.500000,0.000000,top
"H4","MountingHole","MountingHole_4mm",134.500000,-104.000000,0.000000,top
"J1","GPS","JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal",114.270000,-135.550000,0.000000,top
"J2","ESC","JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal",119.090000,-102.950000,180.000000,top
"J3","UART","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",125.480000,-135.550000,0.000000,top
"J4","Tag_Connect_6pin","Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical",102.105000,-112.760000,-90.000000,top
"JP1","PROG_MODE_JUMPER","R_01005_0402Metric",102.460000,-120.740000,90.000000,top
"L1","SPM3020T-2R2M-LR","SPM3010-3020",136.380000,-118.620000,-90.000000,top
"L2","BLM21PG221SN1D","L_0805_2012Metric",119.040000,-129.970000,0.000000,top
"L3","BLM21PG221SN1D","L_0805_2012Metric",122.927500,-131.010000,180.000000,top
"R1","100k","R_01005_0402Metric",132.525000,-113.600000,180.000000,top
"R2","18.2k","R_01005_0402Metric",130.625000,-120.770000,180.000000,top
"R3","1M","R_01005_0402Metric",132.780000,-114.530000,90.000000,top
"R4","182k","R_01005_0402Metric",133.500000,-115.650000,-90.000000,top
"R5","1k","R_01005_0402Metric",120.930000,-127.650000,180.000000,top
"R6","10k","R_01005_0402Metric",103.344832,-120.690000,-90.000000,top
"R7","4.7k","R_01005_0402Metric",103.040000,-118.070000,-90.000000,top
"R8","4.7k","R_01005_0402Metric",103.050000,-119.330000,90.000000,top
"R9","33R","R_01005_0402Metric",117.810000,-107.230000,0.000000,top
"R10","33R","R_01005_0402Metric",116.480000,-107.230000,0.000000,top
"R11","33R","R_01005_0402Metric",115.120000,-107.230000,0.000000,top
"R12","33R","R_01005_0402Metric",113.770000,-107.230000,0.000000,top
"R13","10k","R_01005_0402Metric",125.370000,-113.760000,-90.000000,top
"U1","LT8609SEV#PBF","LT8609SEVPBF",132.570000,-118.715000,90.000000,top
"U2","AP7361C-33E","SOT-223-3_TabPin2",133.930000,-126.127500,0.000000,top
"U3","STM32H743VITx","LQFP-100_14x14mm_P0.5mm",112.954832,-117.205000,90.000000,top
"U4","W25Q512JVEIQ","WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm",125.060000,-117.920000,-90.000000,top
"U5","BMI088","Bosch_LGA-16_4.5x3mm_P0.5mm_LayoutBorder7x1y_ClockwisePinNumbering",125.240000,-126.277500,180.000000,top
"Y1","TSX-3225_16.0000MF18X-AC0","Crystal_SMD_3225-4Pin_3.2x2.5mm",112.980000,-129.340000,180.000000,top
